id,id_index,kode_provinsi,nama_provinsi,periode_update,cara_keluar,kategori,jumlah,satuan,tahun
79,237,35,JAWA TIMUR,2019-03,MENINGGAL,TOTAL,42,PASIEN,2019
80,238,35,JAWA TIMUR,2019-03,DIRUJUK,NON RUJUKAN,3,PASIEN,2019
80,239,35,JAWA TIMUR,2019-03,DIRUJUK,RUJUKAN,2,PASIEN,2019
80,240,35,JAWA TIMUR,2019-03,DIRUJUK,TOTAL,5,PASIEN,2019
81,241,35,JAWA TIMUR,2019-03,PULANG PAKSA,NON RUJUKAN,51,PASIEN,2019
81,242,35,JAWA TIMUR,2019-03,PULANG PAKSA,RUJUKAN,20,PASIEN,2019
81,243,35,JAWA TIMUR,2019-03,PULANG PAKSA,TOTAL,71,PASIEN,2019
82,244,35,JAWA TIMUR,2019-03,PULANG,NON RUJUKAN,601,PASIEN,2019
82,245,35,JAWA TIMUR,2019-03,PULANG,RUJUKAN,73,PASIEN,2019
82,246,35,JAWA TIMUR,2019-03,PULANG,TOTAL,674,PASIEN,2019
83,247,35,JAWA TIMUR,2019-03,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2019
83,248,35,JAWA TIMUR,2019-03,PULANG PAKSA,RUJUKAN,0,PASIEN,2019
83,249,35,JAWA TIMUR,2019-03,PULANG PAKSA,TOTAL,0,PASIEN,2019
84,250,35,JAWA TIMUR,2019-03,DIRAWAT,NON RUJUKAN,734,PASIEN,2019
84,251,35,JAWA TIMUR,2019-03,DIRAWAT,RUJUKAN,891,PASIEN,2019
84,252,35,JAWA TIMUR,2019-03,DIRAWAT,TOTAL,1625,PASIEN,2019
85,253,35,JAWA TIMUR,2019-04,MENINGGAL,NON RUJUKAN,21,PASIEN,2019
85,254,35,JAWA TIMUR,2019-04,MENINGGAL,RUJUKAN,29,PASIEN,2019
85,255,35,JAWA TIMUR,2019-04,MENINGGAL,TOTAL,50,PASIEN,2019
86,256,35,JAWA TIMUR,2019-04,DIRUJUK,NON RUJUKAN,0,PASIEN,2019
86,257,35,JAWA TIMUR,2019-04,DIRUJUK,RUJUKAN,2,PASIEN,2019
86,258,35,JAWA TIMUR,2019-04,DIRUJUK,TOTAL,2,PASIEN,2019
87,259,35,JAWA TIMUR,2019-04,PULANG PAKSA,NON RUJUKAN,56,PASIEN,2019
